  cell  ,E,W,N,S
"(98, 1)",1,0,0,1
"(99, 1)",0,0,1,1
"(100, 1)",1,0,1,0
"(101, 1)",1,0,0,1
"(102, 1)",1,0,1,1
"(103, 1)",0,0,1,1
"(104, 1)",0,0,1,1
"(105, 1)",0,0,1,1
"(106, 1)",0,0,1,1
"(107, 1)",0,0,1,1
"(108, 1)",1,0,1,0
"(109, 1)",1,0,0,1
"(110, 1)",0,0,1,1
"(111, 1)",1,0,1,0
"(112, 1)",1,0,0,1
"(113, 1)",1,0,1,1
"(114, 1)",0,0,1,1
"(115, 1)",0,0,1,1
"(116, 1)",0,0,1,1
"(117, 1)",0,0,1,1
"(118, 1)",1,0,1,1
"(119, 1)",0,0,1,0
"(120, 1)",1,0,0,1
"(121, 1)",1,0,1,0
"(122, 1)",1,0,0,1
"(123, 1)",0,0,1,1
"(124, 1)",1,0,1,1
"(125, 1)",0,0,1,1
"(126, 1)",0,0,1,0
"(127, 1)",1,0,0,1
"(128, 1)",1,0,1,1
"(129, 1)",1,0,1,0
"(130, 1)",0,0,0,1
"(131, 1)",1,0,1,1
"(132, 1)",0,0,1,1
"(133, 1)",1,0,1,0
"(134, 1)",1,0,0,1
"(135, 1)",0,0,1,1
"(136, 1)",1,0,1,1
"(137, 1)",0,0,1,1
"(138, 1)",0,0,1,1
"(139, 1)",0,0,1,1
"(140, 1)",0,0,1,1
"(141, 1)",1,0,1,0
"(142, 1)",1,0,0,1
"(143, 1)",1,0,1,0
"(144, 1)",1,0,0,1
"(145, 1)",0,0,1,1
"(146, 1)",0,0,1,1
"(147, 1)",0,0,1,1
"(148, 1)",0,0,1,1
"(149, 1)",0,0,1,1
"(150, 1)",0,0,1,1
"(151, 1)",0,0,1,1
"(152, 1)",1,0,1,1
"(153, 1)",0,0,1,1
"(154, 1)",1,0,1,0
"(155, 1)",1,0,0,1
"(156, 1)",0,0,1,0
"(157, 1)",1,0,0,1
"(158, 1)",1,0,1,1
"(159, 1)",0,0,1,1
"(160, 1)",0,0,1,1
"(161, 1)",1,0,1,0
"(162, 1)",0,0,0,1
"(163, 1)",0,0,1,1
"(164, 1)",0,0,1,1
"(165, 1)",1,0,1,1
"(166, 1)",0,0,1,1
"(167, 1)",1,0,1,0
"(168, 1)",1,0,0,0
"(169, 1)",1,0,0,1
"(170, 1)",0,0,1,1
"(171, 1)",1,0,1,1
"(172, 1)",0,0,1,1
"(173, 1)",1,0,1,0
"(174, 1)",1,0,0,1
"(175, 1)",0,0,1,1
"(176, 1)",0,0,1,1
"(177, 1)",1,0,1,1
"(178, 1)",0,0,1,1
"(179, 1)",0,0,1,1
"(180, 1)",0,0,1,1
"(181, 1)",1,0,1,0
"(182, 1)",1,0,0,1
"(183, 1)",0,0,1,1
"(184, 1)",0,0,1,1
"(185, 1)",0,0,1,1
"(186, 1)",0,0,1,1
"(187, 1)",1,0,1,1
"(188, 1)",0,0,1,1
"(189, 1)",0,0,1,1
"(190, 1)",1,0,1,0
"(191, 1)",1,0,0,1
"(192, 1)",1,0,1,0
"(193, 1)",1,0,0,1
"(194, 1)",0,0,1,1
"(195, 1)",0,0,1,1
"(196, 1)",1,0,1,1
"(197, 1)",0,0,1,0
"(198, 1)",1,0,0,1
"(199, 1)",1,0,1,0
"(200, 1)",1,0,0,1
"(201, 1)",0,0,1,1
"(202, 1)",0,0,1,1
"(203, 1)",1,0,1,1
"(204, 1)",0,0,1,1
"(205, 1)",1,0,1,0
"(206, 1)",1,0,0,1
"(207, 1)",1,0,1,1
"(208, 1)",1,0,1,1
"(209, 1)",0,0,1,0
"(210, 1)",1,0,0,1
"(211, 1)",1,0,1,1
"(212, 1)",0,0,1,1
"(213, 1)",1,0,1,0
"(214, 1)",1,0,0,1
"(215, 1)",0,0,1,1
"(216, 1)",1,0,1,1
"(217, 1)",1,0,1,1
"(218, 1)",0,0,1,1
"(219, 1)",0,0,1,1
"(220, 1)",0,0,1,1
"(221, 1)",0,0,1,1
"(222, 1)",0,0,1,1
"(223, 1)",0,0,1,1
"(224, 1)",0,0,1,1
"(225, 1)",0,0,1,1
"(226, 1)",0,0,1,1
"(227, 1)",0,0,1,1
"(228, 1)",1,0,1,0
"(229, 1)",0,0,0,1
"(230, 1)",1,0,1,1
"(231, 1)",1,0,1,1
"(232, 1)",0,0,1,1
"(233, 1)",0,0,1,1
"(234, 1)",1,0,1,0
"(235, 1)",1,0,0,1
"(236, 1)",1,0,1,0
"(237, 1)",1,0,0,1
"(238, 1)",1,0,1,0
"(239, 1)",1,0,0,1
"(240, 1)",0,0,1,1
"(241, 1)",0,0,1,1
"(242, 1)",0,0,1,1
"(243, 1)",0,0,1,1
"(244, 1)",0,0,1,1
"(245, 1)",0,0,1,1
"(246, 1)",0,0,1,1
"(247, 1)",1,0,1,0
"(248, 1)",1,0,0,1
"(249, 1)",1,0,1,0
"(250, 1)",1,0,0,1
"(251, 1)",0,0,1,1
"(252, 1)",1,0,1,1
"(253, 1)",1,0,1,0
"(254, 1)",1,0,0,1
"(255, 1)",1,0,1,0
"(256, 1)",0,0,0,1
"(257, 1)",0,0,1,1
"(258, 1)",0,0,1,1
"(259, 1)",1,0,1,1
"(260, 1)",0,0,1,1
"(261, 1)",1,0,1,0
"(262, 1)",1,0,0,0
"(263, 1)",1,0,0,1
"(264, 1)",0,0,1,1
"(265, 1)",1,0,1,1
"(266, 1)",1,0,1,0
"(267, 1)",0,0,0,1
"(268, 1)",0,0,1,1
"(269, 1)",0,0,1,1
"(270, 1)",1,0,1,1
"(271, 1)",0,0,1,1
"(272, 1)",0,0,1,0
"(273, 1)",1,0,0,1
"(274, 1)",0,0,1,1
"(275, 1)",1,0,1,1
"(276, 1)",0,0,1,1
"(277, 1)",1,0,1,0
"(278, 1)",1,0,0,1
"(279, 1)",0,0,1,1
"(280, 1)",1,0,1,1
"(281, 1)",0,0,1,0
"(282, 1)",1,0,0,1
"(283, 1)",1,0,1,1
"(284, 1)",1,0,1,0
"(285, 1)",1,0,0,0
"(286, 1)",1,0,0,1
"(287, 1)",0,0,1,1
"(288, 1)",0,0,1,1
"(289, 1)",1,0,1,1
"(290, 1)",1,0,1,0
"(291, 1)",1,0,0,1
"(292, 1)",0,0,1,1
"(293, 1)",0,0,1,1
"(294, 1)",0,0,1,1
"(295, 1)",0,0,1,1
"(296, 1)",0,0,1,0
"(297, 1)",1,0,0,1
"(298, 1)",0,0,1,1
"(299, 1)",1,0,1,1
"(300, 1)",1,0,1,0
"(301, 1)",0,0,0,1
"(302, 1)",1,0,1,1
"(303, 1)",0,0,1,1
"(304, 1)",1,0,1,0
"(305, 1)",1,0,0,1
"(306, 1)",1,0,1,1
"(307, 1)",0,0,1,1
"(308, 1)",0,0,1,1
"(309, 1)",0,0,1,1
"(310, 1)",0,0,1,0
"(311, 1)",1,0,0,1
"(312, 1)",0,0,1,1
"(313, 1)",1,0,1,1
"(314, 1)",1,0,1,0
"(315, 1)",1,0,0,1
"(316, 1)",0,0,1,1
"(317, 1)",1,0,1,0
"(318, 1)",1,0,0,1
"(319, 1)",0,0,1,1
"(320, 1)",0,0,1,1
"(321, 1)",0,0,1,1
"(322, 1)",0,0,1,1
"(323, 1)",1,0,1,1
"(324, 1)",0,0,1,0
"(325, 1)",1,0,0,1
"(326, 1)",1,0,1,1
"(327, 1)",0,0,1,1
"(328, 1)",1,0,1,0
"(329, 1)",1,0,0,1
"(330, 1)",0,0,1,0
"(331, 1)",1,0,0,1
"(332, 1)",1,0,1,0
"(333, 1)",1,0,0,1
"(334, 1)",0,0,1,1
"(335, 1)",0,0,1,1
"(336, 1)",0,0,1,1
"(337, 1)",0,0,1,1
"(338, 1)",0,0,1,1
"(339, 1)",0,0,1,1
"(340, 1)",0,0,1,1
"(341, 1)",1,0,1,1
"(342, 1)",0,0,1,1
"(343, 1)",0,0,1,1
"(344, 1)",1,0,1,1
"(345, 1)",0,0,1,1
"(346, 1)",0,0,1,1
"(347, 1)",1,0,1,1
"(348, 1)",0,0,1,0
"(349, 1)",1,0,0,1
"(350, 1)",1,0,1,0
"(351, 1)",1,0,0,1
"(352, 1)",1,0,1,1
"(353, 1)",0,0,1,1
"(354, 1)",0,0,1,1
"(355, 1)",0,0,1,1
"(356, 1)",1,0,1,0
"(357, 1)",1,0,0,1
"(358, 1)",0,0,1,1
"(359, 1)",0,0,1,1
"(360, 1)",1,0,1,0
"(361, 1)",1,0,0,1
"(362, 1)",0,0,1,1
"(363, 1)",0,0,1,1
"(364, 1)",0,0,1,1
"(365, 1)",0,0,1,1
"(366, 1)",1,0,1,0
"(367, 1)",1,0,0,1
"(368, 1)",1,0,1,0
"(369, 1)",1,0,0,1
"(370, 1)",0,0,1,1
"(371, 1)",1,0,1,0
"(372, 1)",1,0,0,1
"(373, 1)",1,0,1,0
"(374, 1)",1,0,0,1
"(375, 1)",1,0,1,1
"(376, 1)",0,0,1,0
"(377, 1)",1,0,0,1
"(378, 1)",0,0,1,1
"(379, 1)",0,0,1,1
"(380, 1)",1,0,1,1
"(381, 1)",0,0,1,1
"(382, 1)",0,0,1,1
"(383, 1)",0,0,1,0
"(384, 1)",1,0,0,1
"(385, 1)",0,0,1,1
"(386, 1)",0,0,1,1
"(387, 1)",0,0,1,1
"(388, 1)",1,0,1,1
"(389, 1)",1,0,1,1
"(390, 1)",0,0,1,1
"(391, 1)",0,0,1,0
"(392, 1)",1,0,0,1
"(393, 1)",1,0,1,1
"(394, 1)",0,0,1,1
"(395, 1)",0,0,1,1
"(396, 1)",1,0,1,0
"(397, 1)",0,0,0,1
"(398, 1)",1,0,1,1
"(399, 1)",1,0,1,0
"(400, 1)",1,0,0,0
"(1, 2)",1,1,0,0
"(2, 2)",1,1,0,0
"(3, 2)",0,0,0,1
"(4, 2)",0,1,1,1
"(5, 2)",0,1,1,0
"(6, 2)",0,1,0,1
"(7, 2)",0,0,1,1
"(8, 2)",0,0,1,1
"(9, 2)",0,1,1,0
"(10, 2)",0,1,0,1
"(11, 2)",1,0,1,0
"(12, 2)",1,0,0,1
"(13, 2)",0,0,1,1
"(14, 2)",0,1,1,0
"(15, 2)",1,0,0,1
"(16, 2)",0,1,1,0
"(17, 2)",0,1,0,1
"(18, 2)",1,1,1,0
"(19, 2)",0,1,0,0
"(20, 2)",0,1,0,1
"(21, 2)",0,0,1,1
"(22, 2)",1,0,1,0
"(23, 2)",1,1,0,0
"(24, 2)",1,1,0,0
"(25, 2)",1,0,0,1
"(26, 2)",0,0,1,0
"(27, 2)",1,1,0,0
"(28, 2)",0,1,0,1
"(29, 2)",0,0,1,1
"(30, 2)",0,1,1,1
"(31, 2)",0,0,1,0
"(32, 2)",1,0,0,1
"(33, 2)",0,0,1,1
"(34, 2)",0,1,1,0
"(35, 2)",1,0,0,1
"(36, 2)",0,0,1,1
"(37, 2)",1,0,1,1
"(38, 2)",0,0,1,0
"(39, 2)",0,1,0,1
"(40, 2)",0,0,1,1
"(41, 2)",0,0,1,1
"(42, 2)",0,1,1,0
"(43, 2)",1,0,0,1
"(44, 2)",0,0,1,0
"(45, 2)",1,1,0,0
"(46, 2)",1,1,0,1
"(47, 2)",1,0,1,0
"(48, 2)",0,1,0,0
"(49, 2)",1,0,0,1
"(50, 2)",0,0,1,1
"(51, 2)",0,1,1,0
"(52, 2)",1,0,0,0
"(53, 2)",1,1,0,0
"(54, 2)",1,0,0,0
"(55, 2)",1,0,0,1
"(56, 2)",0,1,1,0
"(57, 2)",0,1,0,1
"(58, 2)",0,0,1,0
"(59, 2)",1,1,0,0
"(60, 2)",1,0,0,1
"(61, 2)",0,0,1,1
"(62, 2)",0,1,1,0
"(63, 2)",1,0,0,1
"(64, 2)",1,0,1,0
"(65, 2)",1,0,0,1
"(66, 2)",1,0,1,0
"(67, 2)",0,0,0,1
"(68, 2)",1,1,1,0
"(69, 2)",1,0,0,1
"(70, 2)",0,1,1,0
"(71, 2)",1,1,0,0
"(72, 2)",1,0,0,0
"(73, 2)",0,1,0,1
"(74, 2)",0,0,1,1
"(75, 2)",1,0,1,0
"(76, 2)",1,0,0,1
"(77, 2)",0,0,1,1
"(78, 2)",1,0,1,0
"(79, 2)",1,1,0,0
"(80, 2)",1,1,0,0
"(81, 2)",0,0,0,1
"(82, 2)",1,0,1,0
"(83, 2)",1,1,0,0
"(84, 2)",1,1,0,0
"(85, 2)",0,1,0,1
"(86, 2)",0,1,1,0
"(87, 2)",1,0,0,1
"(88, 2)",1,0,1,0
"(89, 2)",0,1,0,0
"(90, 2)",1,0,0,1
"(91, 2)",0,1,1,0
"(92, 2)",1,0,0,1
"(93, 2)",0,0,1,1
"(94, 2)",1,0,1,0
"(95, 2)",1,1,0,0
"(96, 2)",1,1,0,0
"(97, 2)",0,1,0,0
"(98, 2)",0,1,0,1
"(99, 2)",1,0,1,0
"(100, 2)",0,1,0,1
"(101, 2)",0,1,1,0
"(102, 2)",1,1,0,0
"(103, 2)",1,0,0,1
"(104, 2)",0,0,1,1
"(105, 2)",1,0,1,0
"(106, 2)",1,0,0,1
"(107, 2)",1,0,1,0
"(108, 2)",0,1,0,1
"(109, 2)",0,1,1,0
"(110, 2)",1,0,0,1
"(111, 2)",0,1,1,0
"(112, 2)",1,1,0,0
"(113, 2)",0,1,0,0
"(114, 2)",1,0,0,1
"(115, 2)",0,0,1,1
"(116, 2)",1,0,1,0
"(117, 2)",1,0,0,1
"(118, 2)",0,1,1,0
"(119, 2)",1,0,0,1
"(120, 2)",0,1,1,0
"(121, 2)",0,1,0,1
"(122, 2)",0,1,1,0
"(123, 2)",1,0,0,0
"(124, 2)",0,1,0,1
"(125, 2)",0,0,1,1
"(126, 2)",1,0,1,0
"(127, 2)",1,1,0,0
"(128, 2)",1,1,0,0
"(129, 2)",0,1,0,1
"(130, 2)",1,0,1,0
"(131, 2)",1,1,0,0
"(132, 2)",0,0,0,1
"(133, 2)",0,1,1,0
"(134, 2)",1,1,0,0
"(135, 2)",1,0,0,0
"(136, 2)",0,1,0,1
"(137, 2)",0,0,1,1
"(138, 2)",0,0,1,1
"(139, 2)",1,0,1,0
"(140, 2)",1,0,0,1
"(141, 2)",0,1,1,0
"(142, 2)",1,1,0,0
"(143, 2)",1,1,0,0
"(144, 2)",0,1,0,1
"(145, 2)",1,0,1,0
"(146, 2)",0,0,0,1
"(147, 2)",1,0,1,1
"(148, 2)",0,0,1,1
"(149, 2)",1,0,1,0
"(150, 2)",1,0,0,1
"(151, 2)",1,0,1,0
"(152, 2)",0,1,0,1
"(153, 2)",1,0,1,0
"(154, 2)",0,1,0,1
"(155, 2)",1,1,1,0
"(156, 2)",1,0,0,1
"(157, 2)",0,1,1,0
"(158, 2)",1,1,0,0
"(159, 2)",1,0,0,1
"(160, 2)",1,0,1,0
"(161, 2)",1,1,0,0
"(162, 2)",1,0,0,1
"(163, 2)",0,0,1,1
"(164, 2)",1,0,1,0
"(165, 2)",1,1,0,0
"(166, 2)",1,0,0,1
"(167, 2)",0,1,1,0
"(168, 2)",1,1,0,0
"(169, 2)",1,1,0,0
"(170, 2)",1,0,0,0
"(171, 2)",1,1,0,0
"(172, 2)",1,0,0,0
"(173, 2)",1,1,0,0
"(174, 2)",1,1,0,0
"(175, 2)",1,0,0,1
"(176, 2)",1,0,1,1
"(177, 2)",0,1,1,0
"(178, 2)",1,0,0,1
"(179, 2)",0,0,1,1
"(180, 2)",1,0,1,0
"(181, 2)",1,1,0,0
"(182, 2)",0,1,0,1
"(183, 2)",0,0,1,0
"(184, 2)",1,0,0,1
"(185, 2)",0,0,1,1
"(186, 2)",0,0,1,1
"(187, 2)",0,1,1,0
"(188, 2)",1,0,0,1
"(189, 2)",0,0,1,0
"(190, 2)",1,1,0,0
"(191, 2)",1,1,0,0
"(192, 2)",0,1,0,1
"(193, 2)",0,1,1,0
"(194, 2)",0,0,0,1
"(195, 2)",0,0,1,1
"(196, 2)",0,1,1,0
"(197, 2)",1,0,0,1
"(198, 2)",0,1,1,0
"(199, 2)",0,1,0,1
"(200, 2)",0,1,1,0
"(201, 2)",1,0,0,1
"(202, 2)",0,0,1,1
"(203, 2)",0,1,1,0
"(204, 2)",1,0,0,1
"(205, 2)",0,1,1,0
"(206, 2)",1,1,0,0
"(207, 2)",1,1,0,0
"(208, 2)",0,1,0,0
"(209, 2)",1,0,0,1
"(210, 2)",0,1,1,0
"(211, 2)",0,1,0,1
"(212, 2)",1,0,1,0
"(213, 2)",1,1,0,0
"(214, 2)",0,1,0,0
"(215, 2)",1,0,0,1
"(216, 2)",0,1,1,0
"(217, 2)",1,1,0,0
"(218, 2)",1,0,0,1
"(219, 2)",0,0,1,1
"(220, 2)",1,0,1,0
"(221, 2)",0,0,0,1
"(222, 2)",0,0,1,1
"(223, 2)",1,0,1,1
"(224, 2)",0,0,1,1
"(225, 2)",0,0,1,1
"(226, 2)",0,0,1,1
"(227, 2)",0,0,1,1
"(228, 2)",0,1,1,0
"(229, 2)",1,0,0,1
"(230, 2)",0,1,1,0
"(231, 2)",0,1,0,0
"(232, 2)",1,0,0,1
"(233, 2)",1,0,1,0
"(234, 2)",0,1,0,1
"(235, 2)",0,1,1,0
"(236, 2)",1,1,0,0
"(237, 2)",1,1,0,0
"(238, 2)",1,1,0,0
"(239, 2)",0,1,0,1
"(240, 2)",0,0,1,1
"(241, 2)",1,0,1,0
"(242, 2)",1,0,0,1
"(243, 2)",0,0,1,1
"(244, 2)",1,0,1,0
"(245, 2)",0,0,0,1
"(246, 2)",0,0,1,1
"(247, 2)",1,1,1,0
"(248, 2)",0,1,0,0
"(249, 2)",0,1,0,1
"(250, 2)",0,1,1,0
"(251, 2)",1,0,0,1
"(252, 2)",0,1,1,0
"(253, 2)",0,1,0,1
"(254, 2)",0,1,1,0
"(255, 2)",1,1,0,0
"(256, 2)",1,0,0,1
"(257, 2)",0,0,1,1
"(258, 2)",1,0,1,0
"(259, 2)",1,1,0,0
"(260, 2)",1,0,0,1
"(261, 2)",0,1,1,0
"(262, 2)",1,1,0,1
"(263, 2)",0,1,1,0
"(264, 2)",1,0,0,0
"(265, 2)",1,1,0,0
"(266, 2)",0,1,0,1
"(267, 2)",0,0,1,1
"(268, 2)",0,0,1,1
"(269, 2)",1,0,1,0
"(270, 2)",0,1,0,1
"(271, 2)",1,0,1,0
"(272, 2)",1,0,0,1
"(273, 2)",0,1,1,0
"(274, 2)",1,0,0,0
"(275, 2)",0,1,0,1
"(276, 2)",1,0,1,0
"(277, 2)",1,1,0,0
"(278, 2)",0,1,0,1
"(279, 2)",0,0,1,0
"(280, 2)",0,1,0,1
"(281, 2)",1,0,1,1
"(282, 2)",0,1,1,0
"(283, 2)",1,1,0,0
"(284, 2)",1,1,0,0
"(285, 2)",0,1,0,1
"(286, 2)",0,1,1,1
"(287, 2)",1,0,1,0
"(288, 2)",1,0,0,1
"(289, 2)",0,1,1,0
"(290, 2)",0,1,0,1
"(291, 2)",0,1,1,0
"(292, 2)",1,0,0,1
"(293, 2)",1,0,1,0
"(294, 2)",1,0,0,1
"(295, 2)",0,0,1,1
"(296, 2)",0,0,1,1
"(297, 2)",0,1,1,1
"(298, 2)",0,0,1,0
"(299, 2)",1,1,0,0
"(300, 2)",0,1,0,1
"(301, 2)",1,0,1,0
"(302, 2)",0,1,0,1
"(303, 2)",1,0,1,0
"(304, 2)",0,1,0,0
"(305, 2)",1,1,0,0
"(306, 2)",0,1,0,1
"(307, 2)",1,0,1,0
"(308, 2)",1,0,0,1
"(309, 2)",0,0,1,1
"(310, 2)",0,0,1,1
"(311, 2)",0,1,1,0
"(312, 2)",1,0,0,0
"(313, 2)",1,1,0,0
"(314, 2)",0,1,0,0
"(315, 2)",0,1,0,1
"(316, 2)",1,0,1,0
"(317, 2)",1,1,0,0
"(318, 2)",0,1,0,1
"(319, 2)",1,0,1,0
"(320, 2)",0,0,0,1
"(321, 2)",0,0,1,1
"(322, 2)",1,0,1,0
"(323, 2)",1,1,0,0
"(324, 2)",1,0,0,1
"(325, 2)",0,1,1,0
"(326, 2)",0,1,0,1
"(327, 2)",1,0,1,0
"(328, 2)",0,1,0,1
"(329, 2)",0,1,1,0
"(330, 2)",1,0,0,1
"(331, 2)",0,1,1,0
"(332, 2)",0,1,0,1
"(333, 2)",0,1,1,0
"(334, 2)",1,0,0,1
"(335, 2)",1,0,1,0
"(336, 2)",1,0,0,1
"(337, 2)",1,0,1,1
"(338, 2)",0,0,1,1
"(339, 2)",0,0,1,1
"(340, 2)",0,0,1,0
"(341, 2)",1,1,0,0
"(342, 2)",0,0,0,1
"(343, 2)",0,0,1,1
"(344, 2)",1,1,1,0
"(345, 2)",0,0,0,1
"(346, 2)",0,0,1,1
"(347, 2)",1,1,1,0
"(348, 2)",1,0,0,1
"(349, 2)",0,1,1,0
"(350, 2)",0,1,0,1
"(351, 2)",0,1,1,0
"(352, 2)",0,1,0,1
"(353, 2)",1,0,1,0
"(354, 2)",1,0,0,1
"(355, 2)",1,0,1,0
"(356, 2)",0,1,0,0
"(357, 2)",0,1,0,1
"(358, 2)",0,0,1,1
"(359, 2)",1,0,1,0
"(360, 2)",1,1,0,0
"(361, 2)",1,1,0,0
"(362, 2)",0,0,0,1
"(363, 2)",1,0,1,0
"(364, 2)",1,0,0,1
"(365, 2)",0,0,1,1
"(366, 2)",1,1,1,0
"(367, 2)",1,1,0,0
"(368, 2)",1,1,0,0
"(369, 2)",0,1,0,1
"(370, 2)",1,0,1,0
"(371, 2)",1,1,0,0
"(372, 2)",1,1,0,0
"(373, 2)",0,1,0,1
"(374, 2)",0,1,1,0
"(375, 2)",0,1,0,1
"(376, 2)",0,0,1,1
"(377, 2)",0,1,1,0
"(378, 2)",1,0,0,1
"(379, 2)",0,0,1,1
"(380, 2)",1,1,1,0
"(381, 2)",1,0,0,1
"(382, 2)",0,0,1,1
"(383, 2)",0,0,1,1
"(384, 2)",0,1,1,1
"(385, 2)",0,0,1,1
"(386, 2)",0,0,1,1
"(387, 2)",1,0,1,0
"(388, 2)",1,1,0,0
"(389, 2)",0,1,0,0
"(390, 2)",1,0,0,1
"(391, 2)",0,0,1,1
"(392, 2)",0,1,1,0
"(393, 2)",0,1,0,1
"(394, 2)",0,0,1,1
"(395, 2)",1,0,1,0
"(396, 2)",0,1,0,1
"(397, 2)",0,0,1,1
"(398, 2)",1,1,1,0
"(399, 2)",0,1,0,1
"(400, 2)",0,1,1,0
"(1, 3)",1,1,0,0
"(2, 3)",1,1,0,1
"(3, 3)",0,0,1,1
"(4, 3)",0,0,1,1
"(5, 3)",0,0,1,1
"(6, 3)",1,0,1,0
"(7, 3)",1,0,0,1
"(8, 3)",0,0,1,1
"(9, 3)",0,0,1,1
"(10, 3)",0,0,1,0
"(11, 3)",1,1,0,0
"(12, 3)",1,1,0,1
"(13, 3)",1,0,1,0
"(14, 3)",1,0,0,1
"(15, 3)",0,1,1,0
"(16, 3)",1,0,0,1
"(17, 3)",1,0,1,0
"(18, 3)",0,1,0,0
"(19, 3)",1,0,0,1
"(20, 3)",1,0,1,0
"(21, 3)",1,0,0,1
"(22, 3)",0,1,1,0
"(23, 3)",1,1,0,0
"(24, 3)",1,1,0,0
"(25, 3)",1,1,0,0
"(26, 3)",1,0,0,1
"(27, 3)",0,1,1,1
"(28, 3)",0,0,1,1
"(29, 3)",0,0,1,1
"(30, 3)",1,0,1,1
"(31, 3)",0,0,1,1
"(32, 3)",0,1,1,0
"(33, 3)",1,0,0,1
"(34, 3)",1,0,1,0
"(35, 3)",1,1,0,1
"(36, 3)",0,0,1,0
"(37, 3)",0,1,0,1
"(38, 3)",0,0,1,1
"(39, 3)",0,0,1,1
"(40, 3)",1,0,1,1
"(41, 3)",1,0,1,0
"(42, 3)",1,0,0,1
"(43, 3)",0,1,1,1
"(44, 3)",0,0,1,1
"(45, 3)",0,1,1,0
"(46, 3)",1,1,0,0
"(47, 3)",0,1,0,1
"(48, 3)",1,0,1,0
"(49, 3)",0,1,0,1
"(50, 3)",0,0,1,1
"(51, 3)",0,0,1,1
"(52, 3)",1,1,1,0
"(53, 3)",1,1,0,0
"(54, 3)",0,1,0,1
"(55, 3)",1,1,1,0
"(56, 3)",1,0,0,1
"(57, 3)",1,0,1,0
"(58, 3)",1,0,0,1
"(59, 3)",0,1,1,0
"(60, 3)",0,1,0,1
"(61, 3)",1,0,1,1
"(62, 3)",0,0,1,0
"(63, 3)",1,1,0,0
"(64, 3)",0,1,0,1
"(65, 3)",0,1,1,0
"(66, 3)",1,1,0,1
"(67, 3)",1,0,1,0
"(68, 3)",1,1,0,0
"(69, 3)",1,1,0,1
"(70, 3)",0,0,1,1
"(71, 3)",0,1,1,0
"(72, 3)",0,1,0,1
"(73, 3)",0,0,1,1
